Attribute,Count,Datetime
Characters,12,False
Characters, 12,False
Characters, 30, False
Characters, 35, False
Characters, 37, False
Characters, 28, False
Characters, 41, False
Characters, 41, False
Characters, 67, False
Characters, 70, False
Characters, 56, False
Characters, 124, False
Characters, 127, False
Characters, 78, False
Characters, 90, False
Characters, 148, False
Characters, 23, False
Characters, 17, False
Characters, 139, False
Characters, 98, False
Characters, 67, False
Characters, 107, False
Characters, 90, False
Characters, 96, False
Characters, 79, False
Characters, 98, False
Characters, 82, False
Characters, 175, False
Characters, 17, True
Characters, 127, False
Characters, 136, False
Characters, 101, False
Characters, 99, False
Characters, 113, False
Characters, 128, False
Characters, 114, False
Characters, 51, False
Characters, 17, True
Characters, 173, False
Characters, 136, False
Characters, 142, False
Characters, 128, False
Characters, 153, False
Characters, 95, False
Characters, 94, False
Characters, 105, False
Characters, 17, True
Characters, 134, False
Characters, 110, False
Characters, 87, False
Characters, 83, False
Characters, 115, False
Characters, 93, False
Characters, 111, False
Characters, 119, False
Characters, 105, False
Characters, 95, False
Characters, 96, False
Characters, 101, False
Characters, 120, False
Characters, 117, False
Characters, 188, False
Characters, 29, False
Characters, 37, False
Characters, 28, False
Characters, 23, False
Characters, 43, False
Characters, 111, False
Characters, 32, False
Characters, 11, False
Characters, 17, False
Characters, 174, False
Characters, 40, False
Characters, 23, False
Characters, 16, False
Characters, 17, False
Characters, 25, False
Characters, 19, False
Characters, 16, False
Characters, 12, False
Characters, 6, False
Characters, 1, False
Characters, 3, False
Characters, 12, False
Characters, 5, False
Characters, 11, False
Characters, 3, False
Characters, 7, False
Characters, 8, False
Characters, 12, False
Characters, 10, False
Characters, 5, False
Characters, 4, False
Characters, 3, False
Characters, 10, False
Characters, 18, False
Characters, 17, False
Characters, 19, False
Characters, 18, False
Characters, 15, False
Characters, 18, False
Characters, 17, False
Characters, 8, False
Characters, 16, False
Characters, 11, False
Characters, 16, False
Characters, 12, False
Characters, 109, False
Characters, 108, False
Characters, 123, False
